stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
Rathaus Spandau,autobus,A5,1965154,"52.53457836,13.19949094",,Spandau,Spandau,west,13597
Zeppelinstrasse Ecke Seegefelderstrasse,autobus,A5,1965155,"52.53843134,13.18241060",,Spandau,Spandau,west,13583
Falkenseerchaussee Ecke Zeppelinstrasse,autobus,A5,1965156,"52.54753513,13.18466337",,Falkenhagener Feld,Spandau,west,13583
Waldkrankenhaus,autobus,A5,1965157,"52.56214543,13.15834009",,Falkenhagener Feld,Spandau,west,13589
"Spandau, Landesnervenklinik",autobus,A5,1965158,"52.56341330,13.15430729",,Falkenhagener Feld,Spandau,west,13589
S-Bhf. Wannsee,autobus,A6,1965159,"52.42146076,13.17811897",,Wannsee,Steglitz-Zehlendorf,west,14109
Königstrasse Ecke Kronprinzessinnenweg,autobus,A6,1965160,"52.41993325,13.17531239",,Wannsee,Steglitz-Zehlendorf,west,14109
Pfaueninselschaussee Ecke Königstrasse,autobus,A6,1965161,"52.41884731,13.15300813",,Wannsee,Steglitz-Zehlendorf,west,14109
Friedenstrasse Ecke Königstrasse,autobus,A6,1965162,"52.41722225,13.13897505",,Wannsee,Steglitz-Zehlendorf,west,14109
Schäferberg,autobus,A6,1965163,"52.41562662,13.12630868",,Wannsee,Steglitz-Zehlendorf,west,14109
Nikolskoerweg Ecke Königstrasse,autobus,A6,1965164,"52.41402767,13.10923663",,Wannsee,Steglitz-Zehlendorf,west,14109
Glienicker Brücke,autobus,A6,1965165,"52.41347409,13.09123588",,Wannsee,Steglitz-Zehlendorf,west,14109
"Haselhorst, Kirche",autobus,A10,1965166,"52.54682818,13.23706589",,Haselhorst,Spandau,west,13599
Paulsternstrasse Ecke Nonnendamm,autobus,A10,1965167,"52.53816278,13.24773062",,Haselhorst,Spandau,west,13599
Verwaltungs-Gebaüde,autobus,A10,1965168,"52.53706333,13.26228517",,Siemensstadt,Spandau,west,13629
Spandauerdamm Ecke Fürstenbrunnerweg,autobus,A10,1965169,"52.51839041,13.28021290",,Westend,Charlottenburg-Wilmersdorf,west,14059
U-Bhf. Kaiserdamm,autobus,A10,1965170,"52.50999451,13.28180313",,Westend,Charlottenburg-Wilmersdorf,west,14057
Masurenallee Ecke Messedamm,autobus,A10,1965171,"52.50646272,13.28040040",,Westend,Charlottenburg-Wilmersdorf,west,14057
Amtsgericht,autobus,A10,1965172,"52.50682618,13.29739145",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10627
Kurfürstendamm Ecke Joachim-Friedrichstrasse,autobus,A10,1965173,"52.49800512,13.29619975",,Halensee,Charlottenburg-Wilmersdorf,west,10711
Rathenauplatz,autobus,A10,1965174,"52.49561135,13.28657375",,Halensee,Charlottenburg-Wilmersdorf,west,10711
Elsterplatz,autobus,A10,1965175,"52.47977983,13.28550761",,Schmargendorf,Charlottenburg-Wilmersdorf,west,14199
Hundekehlestrasse Ecke Warnemünderstrasse,autobus,A10,1965176,"52.47539508,13.29037561",,Schmargendorf,Charlottenburg-Wilmersdorf,west,14199
Königin-Luise-Strasse Ecke Pacelliallee,autobus,A10,1965177,"52.45831131,13.28712680",,Dahlem,Steglitz-Zehlendorf,west,14195
U-Bhf. Thielplatz,autobus,A10,1965178,"52.45104521,13.28173642",,Dahlem,Steglitz-Zehlendorf,west,14195
Berlinerstrasse Ecke Thielallee,autobus,A10,1965179,"52.44181287,13.28274544",,Zehlendorf,Steglitz-Zehlendorf,west,14169
Berlinerstrasse Ecke Sundgauerstrasse,autobus,A10,1965180,"52.43833478,13.27141130",,Zehlendorf,Steglitz-Zehlendorf,west,14169
Teltowerdamm Ecke Clayallee,autobus,A10,1965181,"52.43506014,13.26041541",,Zehlendorf,Steglitz-Zehlendorf,west,14169
Teltowerdamm Ecke Machnowerstrasse,autobus,A10,1965182,"52.43081551,13.25929641",,Zehlendorf,Steglitz-Zehlendorf,west,14167
Behring-Krankenhaus,autobus,A10,1965183,"52.42410895,13.25176454",,Zehlendorf,Steglitz-Zehlendorf,west,14165
Lupsteinerweg Ecke Sachtlebenstrasse,autobus,A10,1965184,"52.40951067,13.25160884",,Zehlendorf,Steglitz-Zehlendorf,west,14165
Saargemünderstrasse Ecke Clayallee,autobus,A11,1965185,"52.45093246,13.27071876",,Dahlem,Steglitz-Zehlendorf,west,14195
Ihnestrasse Ecke Garystrasse,autobus,A11,1965186,"52.44831170,13.27633996",,Dahlem,Steglitz-Zehlendorf,west,14195
Corrensplatz,autobus,A11,1965187,"52.44601401,13.28426468",,Dahlem,Steglitz-Zehlendorf,west,14195
Unter den Eichen Ecke Habelschwendterallee,autobus,A11,1965188,"52.44574706,13.29356835",,Lichterfelde,Steglitz-Zehlendorf,west,12205
Gardeschützerweg Ecke Drakestrasse,autobus,A11,1965189,"52.44267225,13.29700971",,Lichterfelde,Steglitz-Zehlendorf,west,12205
Ringstrasse Ecke Drakestrasse,autobus,A11,1965190,"52.43979507,13.30016971",,Lichterfelde,Steglitz-Zehlendorf,west,12205
Wiesenbaude,autobus,A11,1965191,"52.43049524,13.31180861",,Lichterfelde,Steglitz-Zehlendorf,west,12207
Ostrpreußendamm Ecke Königsbergerstrasse,autobus,A11,1965192,"52.43078834,13.31750145",,Lichterfelde,Steglitz-Zehlendorf,west,12207
Marienstrasse Ecke Königsbergerstrasse,autobus,A11,1965193,"52.42946322,13.32166308",,Lichterfelde,Steglitz-Zehlendorf,west,12207
Morgensternstrasse Ecke Königsbergerstrasse,autobus,A11,1965194,"52.42807231,13.32551407",,Lichterfelde,Steglitz-Zehlendorf,west,12207
