stop_name,type,line_name,stop_id,location,identifier,district,neighborhood,east_west_admin
Rathaus Zehlendorf,autobus,A1,196598,"52.43320752,13.25953192",,Steglitz-Zehlendorf,Zehlendorf,west
Machnowerstrasse Ecke Teltowerdamm,autobus,A1,196599,"52.43081519,13.25928297",,Steglitz-Zehlendorf,Zehlendorf,west
Beeskowdamm Ecke Teltowerstrasse,autobus,A1,1965100,"52.40897892,13.26734680",,Steglitz-Zehlendorf,Zehlendorf,west
Wismarerstrasse Ecke Goerzallee,autobus,A1,1965101,"52.42196127,13.29845504",,Steglitz-Zehlendorf,Lichterfelde,west
Lindenstrasse Ecke Ostpreußendamm,autobus,A1,1965102,"52.41788577,13.30524076",,Steglitz-Zehlendorf,Lichterfelde,west
"Bhf. Zoo, Hardenbergplatz",autobus,A2,1965103,"52.50696177,13.33308096",,Charlottenburg-Wilmersdorf,Charlottenburg,west
Spichernstrasse Ecke Bundesallee,autobus,A2,1965104,"52.49595111,13.33077976",,Charlottenburg-Wilmersdorf,Wilmersdorf,west
Berlinerstrasse Ecke Bundesallee,autobus,A2,1965105,"52.48732427,13.33091399",,Charlottenburg-Wilmersdorf,Wilmersdorf,west
Bundesplatz,autobus,A2,1965106,"52.47867899,13.32860278",,Charlottenburg-Wilmersdorf,Wilmersdorf,west
Friedrich-Wilhelm-Platz,autobus,A2,1965107,"52.47128806,13.32836213",,Tempelhof-Schöneberg,Friedenau,west
Schloßstrasse Ecke Bundesallee,autobus,A2,1965108,"52.46494077,13.32851361",,Tempelhof-Schöneberg,Friedenau,west
Feuerbachstrasse Ecke Bismarckstrasse,autobus,A2,1965109,"52.46451344,13.33892787",,Steglitz-Zehlendorf,Steglitz,west
Bergstrasse Ecke Bismarckstrasse,autobus,A2,1965110,"52.45863817,13.33931462",nan+ nan,Steglitz-Zehlendorf,Steglitz,west
Steglitzerdamm Ecke Halskestrasse,autobus,A2,1965111,"52.45002165,13.34670705",,Steglitz-Zehlendorf,Steglitz,west
Leonorenstrasse Ecke Siemensstrasse,autobus,A2,1965112,"52.44438058,13.33887527",,Steglitz-Zehlendorf,Lankwitz,west
"Lankwitz, Kirche",autobus,A2,1965113,"52.43629187,13.34574539",,Steglitz-Zehlendorf,Lankwitz,west
Havensteinstrasse Ecke Gallwitzallee,autobus,A2,1965114,"52.43194849,13.34634331",,Steglitz-Zehlendorf,Lankwitz,west
Lerbacher Weg,autobus,A2,1965115,"52.42568639,13.34759454",,Steglitz-Zehlendorf,Lankwitz,west
Trippsteinstrase Ecke Frankenhauserstrasse,autobus,A2,1965116,"52.41708279,13.34765431",,Steglitz-Zehlendorf,Lankwitz,west
Winfriedstrasse Ecke Clayallee,autobus,A3,1965117,"52.43922363,13.26287811",,Steglitz-Zehlendorf,Zehlendorf,west
Sundgauerstrasse Ecke Clayallee,autobus,A3,1965118,"52.44557392,13.26767122",,Steglitz-Zehlendorf,Zehlendorf,west
U-Bhf. Onkel-Toms-Hütte,autobus,A3,1965119,"52.45007713,13.25127259",,Steglitz-Zehlendorf,Zehlendorf,west
U-Bhf. Krumme Lanke,autobus,A3,1965120,"52.44361298,13.24100643",,Steglitz-Zehlendorf,Zehlendorf,west
Lindenthalerallee Ecke Argentischestrasse,autobus,A3,1965121,"52.43767236,13.23234537",,Steglitz-Zehlendorf,Zehlendorf,west
Spanischeallee Ecke Potsdamerschaussee,autobus,A3,1965122,"52.42962237,13.22400734",,Steglitz-Zehlendorf,Nikolassee,west
Schopenhauerstrasse Ecke Spanischeallee,autobus,A3,1965123,"52.43394923,13.21204795",,Steglitz-Zehlendorf,Nikolassee,west
Borussenstrasse Ecke Spanischeallee,autobus,A3,1965124,"52.43382331,13.19324567",,Steglitz-Zehlendorf,Nikolassee,west
Am Beelitzhof Ecke Kronprinzessinnenweg,autobus,A3,1965125,"52.43221622,13.18668380",,Steglitz-Zehlendorf,Nikolassee,west
Bhf. Wannsee,autobus,A3,1965126,"52.42151302,13.17810257",,Steglitz-Zehlendorf,Wannsee,west
Am Großen Wannssee Ecke Königstrasse,autobus,A3,1965127,"52.42050256,13.16717980",,Steglitz-Zehlendorf,Wannsee,west
Pfaueninselchaussee Ecke Königstrasse,autobus,A3,1965128,"52.41883990,13.15300828",,Steglitz-Zehlendorf,Wannsee,west
Rathaus Wannsee,autobus,A3,1965129,"52.41844013,13.14887249",,Steglitz-Zehlendorf,Wannsee,west
