stop_id,stop_name,type,location,in_lines,identifier,stop_description
1964106,Bergstrasse Ecke Thorwaldstrasse,bus,"52.45911303271541, 13.348433992418155",A83,,
1964107,Berkaer Strasse,bus,"52.48209270683341, 13.281182952838728",A29,,Berkaer Strasse Ecke Teplitzer Strasse
1964108,"Berkaer Strasse, Elsterplatz",bus,"52.479592141367654, 13.285296936169493",AS3s,,"Berkaer Strasse, Elsterplatz"
1964109,Berlin-Staaken station,s-bahn,"52.5378,13.1414",KBS 100a,Q477545,
1964110,Berliner Strasse Ecke Brandenburgischestrasse,bus,"52.48646559054497, 13.320388485889481",A60,,
1964111,Berliner Strasse Ecke Bundesallee,bus,"52.48735367071187, 13.33100210517226","A2,AS2s,A25",,
1964112,Berliner Strasse Ecke Joachimstalerstrasse,bus,"52.487347586247154, 13.330990285702837",A81,,
1964113,Berliner Strasse Ecke Suermondtstrasse,strassenbahn,"52.54900402056681, 13.501740363652805",70,,
1964114,Berlinickeplatz,strassenbahn,"52.466329675590764, 13.378144688199017",96,,Berlinickeplatz Ecke Manteuffelstrasse
1964115,Berlinickestrasse Ecke Albrechtstrasse,bus,"52.45613384482348, 13.323889347619627",A33,,
1964116,Bernau (b Bln),s-bahn,"52.6763,13.5931",KBS 106,Q479789,Bernau bei Berlin station
1964117,Bernauer Strasse,bus,"52.57629905299874, 13.294692761311245",A13,,Bernauer Strasse Ecke Berliner Strasse
1964118,Bernauer Strasse Ecke Brunnenstrasse,bus,"52.53829556916397, 13.396023771544826","A71, A61",,Bernauer Strasse/Brunnenstrasse
1964119,Bernauer Strasse Ecke Wolliner Strasse,bus,"52.539825749774046, 13.4015229935377","A64,A71",,
1964120,Bersarinplatz,strassenbahn,"52.519215,13.4525257","4,13",Q65706258,Bersarinplatz
1964121,Betriebsbahnhof Rummelsburg,s-bahn,"52.4939,13.4978",KBS 102,Q829009,Betriebsbahnhof Rummelsburg station
1964122,Betriebsbahnhof Schöneweide,s-bahn,"52.44676,13.52391","KBS 106a,KBS 103,KBS 103a",Q4526101,Berlin-Johannisthal railway station
1964123,Beusselstr.,s-bahn,"52.534444444444,13.329166666667","KBS 100a,KBS 100",Q323219,Berlin Beusselstraße station
1964124,Bezirksamt,bus,"52.54146443211212, 13.200850156157355",A63,,Bezirksamt
1964125,Bhf. Frankfurter Allee,strassenbahn,"52.5138037,13.4773772",3,Q65948557,
1964126,Bhf. Friedrichstrasse,bus,"52.5205606637086, 13.388231915342985","A57,A9,A59",,Bhf. Friedrichstrasse
1964127,Bhf. Friedrichstrasse,strassenbahn,"52.5192805,13.3884107","11, 46,70","Q65095382, Q65095382","nan, nan"
1964128,Bhf. Gesundbrunnen,bus,"52.548738600413905, 13.387745851632966","A61,A71",,Bhf. Gesundbrunnen
1964129,Bhf. Hermsdorf,bus,"52.61953939324446, 13.30416069232153",A15,,Bhf. Hermsdorf
1964130,Bhf. Hohenzollerndamm,bus,"52.488411167563925, 13.302041677512456",A21,,
1964131,Bhf. Jungfernheide,bus,"52.530138785889896, 13.296018817180764",A62,,Bhf. Jungfernheide
1964132,Bhf. Lichtenberg,bus,"52.5112875601879, 13.499591119128855","O37,O30",,Bhf. Lichtenberg
1964133,Bhf. Lichtenberg,strassenbahn,"52.5123603,13.4977547","69,69E",Q66013733,S+U Lichtenberg/Siegfriedstraße
1964134,Bhf. Lichtenrade,bus,"52.386683297852706, 13.395506929836833","A76,AS2s",,
1964135,Bhf. Lichterfelde-West,bus,"52.44397675869793, 13.295628699942629",A11,,Bhf. Lichterfelde-West
1964136,Bhf. Lindenthaler Allee,bus,"52.43102570943782, 13.229881678326638",A3,,Bhf. Lindenthaler Allee Ecke Potsdamer Chaussee
1964137,Bhf. Marienfelde,bus,"52.42342246533686, 13.374664175181172","A77,A32",,Bhf. Marienfelde
1964138,Bhf. Schönefeld,bus,"52.38192403313463, 13.511545079208773",AZ,,
1964139,Bhf. Schöneweide,bus,"52.45374952013775, 13.510200397684477","A26,A47,A48",,"Bhf. Schöneweide, Sterndamm"
1964140,Bhf. Schöneweide,strassenbahn,"52.45640818289644, 13.509916574756422","85,69E,92,87,69,95",,Bhf. Schöneweide
1964141,Bhf. Sonnenallee,bus,"52.473861610807525, 13.455874121666916",A67,,Bhf. Sonnenallee
1964142,Bhf. Spandau-West,bus,"52.53497194201396, 13.198460334945361",A63,,Bhf. Spandau-West
1964143,Bhf. Tempelhof,bus,"52.47084694496318, 13.385638120230526",A68,,Bhf. Tempelhof
1964144,Bhf. Wannsee,bus,"52.42151302311533, 13.17810256503659","AS4,A3,A51,A6",,Bhf. Wannsee
1964145,Bhf. Wilhelmsruh,bus,"52.58102921945559, 13.363635067647111",A71,,Bhf. Wilhelmsruh
1964146,Bhf. Wollankstrasse,bus,"52.56453849178735, 13.393420272477442",A70,,Bhf. Wollankstrasse
1964147,Bhf. Zoo,bus,"52.507029532025605, 13.333220118900503","A2,A62,AS2s,A25,AS3s,AS4,A73,AS1s",,Bhf. Zoo
1964148,Bhf. Zoo,strassenbahn,"52.50719345524868, 13.332629878993917",55,,Bhf. Zoo
1964149,"Bhf. Zoo, Hardenbergplatz",bus,"52.506961767508, 13.333080958799588","A85,A81,A90",,
1964150,"Bhf. Zoo, Kantstrasse",strassenbahn,"52.50540350310839, 13.330367559360592","75,76",,"Bhf. Zoo, Kantstrasse"
1964151,Biesdorf,s-bahn,"52.5131,13.5554",KBS 101,Q4892357,Berlin-Biesdorf station
1964152,Birkbuschstrasse Ecke Siemensstrasse,bus,"52.4424390398498, 13.332082171164004",A86,,
1964153,Birkenstrasse,u-bahn,"52.532222222222,13.341388888889",G,Q555998,
1964154,Birkenwerder,s-bahn,"52.6885,13.2888",KBS 104,Q2343634,Birkenwerder station
1964155,Bismarckplatz,bus,"52.492064537089135, 13.28493897027407",A29,,Bismarckplatz
1964156,Bismarckstrasse Ecke Bergstrasse,bus,"52.45863794281251, 13.339298022918376","A75,A68",,
1964157,Bismarckstrasse Ecke Steglitzer Damm,bus,"52.45103871422625, 13.337949524239141","A33, A81","nan, nan","nan, nan"
